"covariate","rho","correlation","lo","hi"
"Educ_spend_gdp",0.305,-0.250791811516245,-0.646582607981668,0.200304580120138
"Educ_spend_gdp",0.31,-0.251242360087103,-0.646308292685825,0.200111721921077
"Educ_spend_gdp",0.315,-0.251642630224198,-0.64602042007079,0.200708467936905
"Educ_spend_gdp",0.32,-0.251995453259261,-0.645720188872353,0.201611647367664
"Educ_spend_gdp",0.325,-0.252303491092823,-0.645408703569037,0.201922598195025
"Educ_spend_gdp",0.33,-0.25256924777386,-0.645086982534502,0.201366325924398
"Educ_spend_gdp",0.335,-0.252795080168833,-0.644755965393843,0.20084243740238
"Educ_spend_gdp",0.34,-0.252983207801537,-0.644416519671107,0.200349448662262
"Educ_spend_gdp",0.345,-0.253135721937077,NA,NA
"Educ_spend_gdp",0.35,-0.253254593976044,NA,NA
"Educ_spend_gdp",0.355,-0.253341683218482,NA,NA
"Educ_spend_gdp",0.36,-0.253398744051509,NA,NA
"Educ_spend_gdp",0.365,-0.253427432609273,-0.642679575371784,0.199623942746335
"Educ_spend_gdp",0.37,-0.25342931294933,-0.642747760632354,0.19940407257738
"Educ_spend_gdp",0.375,-0.253405862785386,-0.642794341594161,0.199202423782214
"Educ_spend_gdp",0.38,-0.253358478812671,-0.642820428178086,0.199018157721984
"Educ_spend_gdp",0.385,-0.253288481658852,-0.642827069926261,0.198850473118066
"Educ_spend_gdp",0.39,-0.253197120490424,-0.64281525984413,0.198698604361522
"Educ_spend_gdp",0.395,-0.25308557730184,-0.64278593795486,0.198561819897962
"Educ_spend_gdp",0.4,-0.252954970912191,-0.642739994590988,0.198439420684908
"GDP_growth",0.01,-0.00751244159305472,-0.380157921576132,0.437997324390209
"GDP_growth",0.015,0.00552069873846019,-0.385976571660701,0.422564105592807
"GDP_growth",0.02,0.0207671136497193,-0.372145781100619,0.416426712212641
"GDP_growth",0.025,0.0402379601158614,-0.346016459957806,0.420465390440796
"GDP_growth",0.03,0.0616177926525272,-0.314020730666248,0.423163460905504
"GDP_growth",0.035,0.0832795513055393,-0.285116994330338,0.429648512020842
"GDP_growth",0.04,0.104297056867183,-0.2552191828854,0.446055754426175
"GDP_growth",0.045,0.124192689679108,NA,NA
"GDP_growth",0.05,0.142755112458922,-0.218057841585887,0.463034022803201
"GDP_growth",0.055,0.159925998237414,-0.191436493632614,0.476779635528787
"GDP_growth",0.06,0.175731911347331,NA,NA
"GDP_growth",0.065,0.190243858906977,-0.155866672226061,0.497336765408298
"GDP_growth",0.07,0.203553545956979,NA,NA
"GDP_growth",0.075,0.215759669949852,-0.120834926219988,0.519567773371359
"GDP_growth",0.08,0.226960231231717,-0.103397565696684,0.52368174722096
"GDP_growth",0.085,0.237248431476704,NA,NA
"GDP_growth",0.09,0.246710693622166,-0.0728463698957387,0.537951459593186
"GDP_growth",0.095,0.255425917403611,-0.0617717674511224,0.544734903014329
"GDP_growth",0.1,0.26346543602036,NA,NA
"GDP_growth",0.105,0.270893352758414,-0.0377770593310095,0.549819938367463
"GDP_growth",0.11,0.277767066110544,-0.0262719259213823,0.553239766127907
"GDP_growth",0.115,0.284137870879582,NA,NA
"GDP_growth",0.12,0.290051570747627,-0.0138394951563736,0.562582137271408
"GDP_growth",0.125,0.295549066863489,-0.0039599036316878,0.565896396880707
"GDP_growth",0.13,0.300666904470119,0.0030042161025457,0.568316200251084
"GDP_growth",0.135,0.305437769947583,0.010669540594076,0.571243905046813
"GDP_growth",0.14,0.309890936641348,0.0165508393456486,0.574221998371972
"GDP_growth",0.145,0.314052661179165,NA,NA
"GDP_growth",0.15,0.317946533702087,NA,NA
"GDP_growth",0.155,0.321593786194985,0.0366253658438651,0.580885779384104
"GDP_growth",0.16,0.325013563299623,0.0415998499648965,0.583022727297434
"GDP_growth",0.165,0.328223159875145,0.0439159398439358,0.58487137186738
"GDP_growth",0.17,0.331238229286689,0.0462575077248965,0.588159020509396
